From Class,To Class,References,From Entities,To Entities
com.ibm.elastic.build.cloud.util.event.RequirementEventAbout,com.ibm.elastic.build.cloud.util.event.RequirementEvent,4,2,3
com.ibm.elastic.build.cloud.util.event.RequirementEventAbout,com.ibm.elastic.build.cloud.util.internal.Messages,1,1,1
com.ibm.elastic.build.cloud.util.event.RequirementEventAbout,com.ibm.elastic.build.cloud.api.IEBCEvent,2,2,2
com.ibm.elastic.build.cloud.util.event.RequirementEventAbout,com.ibm.elastic.build.cloud.api.requirement.IRequirement,10,6,5
com.ibm.elastic.build.cloud.util.event.RequirementEventAbout,com.ibm.elastic.build.cloud.api.requirement.IContext,4,3,3
com.ibm.elastic.build.cloud.util.event.RequirementEventAbout,com.ibm.elastic.build.cloud.util.event.IEBCEventAbout,6,2,6
com.ibm.elastic.build.cloud.util.event.RequirementEventAbout,com.ibm.elastic.build.cloud.util.event.EBCEventUtil,1,1,1
com.ibm.elastic.build.cloud.api.requirement.exceptions.NoCapacityException,com.ibm.elastic.build.cloud.api.requirement.exceptions.ExternalSystemException,4,4,4
com.ibm.elastic.build.cloud.external.system.sco.VirtualSystemInstance,com.ibm.elastic.build.cloud.external.system.connection.RequestHelper,3,1,2
com.ibm.elastic.build.cloud.instance.ucd.UCDAgentsResource,com.ibm.elastic.build.cloud.external.system.udeploy.Agent,5,5,2
com.ibm.elastic.build.cloud.instance.ucd.UCDAgentsResource,com.ibm.elastic.build.cloud.api.IEBCManager,3,3,2
com.ibm.elastic.build.cloud.instance.ucd.UCDAgentsResource,com.ibm.elastic.build.cloud.instance.ucd.UCDAgentsDelete,3,2,2
com.ibm.elastic.build.cloud.instance.ucd.UCDAgentsResource,com.ibm.elastic.build.cloud.external.system.udeploy.UDeployHelper,2,2,1
com.ibm.elastic.build.cloud.instance.ucd.UCDAgentsResource,com.ibm.elastic.build.cloud.api.requirement.IResourceProvider,3,3,1
com.ibm.elastic.build.cloud.instance.ucd.UCDAgentsResource,com.ibm.elastic.build.cloud.api.requirement.IContext,7,7,4
com.ibm.elastic.build.cloud.instance.ucd.UCDAgentsResource,com.ibm.elastic.build.cloud.api.requirement.IResource,6,3,2
